,idx,person,sample,subsample,rating
0,08,kw,12,1r,2.2
1,08,kw,12,4,3.0
2,08,kw,12,3r,1.7
3,08,kw,12,2r,2.5
4,08,kw,12,5,1.0
0,14,anon,12,2r,1.6
1,14,anon,12,4,3.0
2,14,anon,12,5,1.0
3,14,anon,12,3r,1.9
4,14,anon,12,1r,2.2
0,07,hlm,12,3r,2.6
1,07,hlm,12,1r,2.4
2,07,hlm,12,2r,2.6
3,07,hlm,12,4,3.0
4,07,hlm,12,5,1.5
0,30,anon,12,5,1.0
1,30,anon,12,2r,3.4
2,30,anon,12,1r,2.0
3,30,anon,12,3r,2.0
4,30,anon,12,4,2.3
0,20,anon,12,5,1.5
1,20,anon,12,4,3.3
2,20,anon,12,2r,2.0
3,20,anon,12,3r,2.5
4,20,anon,12,1r,3.0
0,01,garf,12,2r,3.3
1,01,garf,12,4,4.4
2,01,garf,12,3r,4.0
3,01,garf,12,1r,3.7
4,01,garf,12,5,2.2
0,04,anon,12,1r,2.6
1,04,anon,12,5,1.0
2,04,anon,12,3r,3.0
3,04,anon,12,2r,3.2
0,12,igorc,12,1r,3.0
1,12,igorc,12,3r,1.5
2,12,igorc,12,4,3.6
3,12,igorc,12,2r,1.5
4,12,igorc,12,5,1.0
0,11,anon,12,5,2.0
0,29,anon,12,5,2.5
1,29,anon,12,1r,3.5
2,29,anon,12,3r,3.5
3,29,anon,12,2r,2.9
0,06,anon,12,5,2.0
1,06,anon,12,4,3.8
2,06,anon,12,2r,2.5
3,06,anon,12,3r,3.2
4,06,anon,12,1r,2.3
0,15,thiagoc,12,2r,4.0
1,15,thiagoc,12,3r,4.0
2,15,thiagoc,12,5,3.0
0,22,anon,24,1r,3.2
1,22,anon,24,5,1.8
2,22,anon,24,4,4.8
3,22,anon,24,3r,4.4
4,22,anon,24,2r,3.6
0,26,anon,24,1r,4.0
1,26,anon,24,5,1.0
0,33,anon,24,4,3.5
1,33,anon,24,5,1.0
2,33,anon,24,3r,4.0
3,33,anon,24,2r,3.0
4,33,anon,24,1r,2.5
0,28,anon,24,5,2.3
0,25,anon,24,2r,3.0
1,25,anon,24,3r,3.5
2,25,anon,24,5,1.5
3,25,anon,24,4,3.2
4,25,anon,24,1r,2.0
0,08,kw,24,5,1.0
1,08,kw,24,1r,2.5
0,14,anon,24,2r,2.5
1,14,anon,24,4,4.0
2,14,anon,24,1r,3.0
3,14,anon,24,5,1.0
4,14,anon,24,3r,3.0
0,07,hlm,24,5,1.5
1,07,hlm,24,1r,2.5
2,07,hlm,24,3r,3.4
3,07,hlm,24,4,3.6
4,07,hlm,24,2r,3.0
0,30,anon,24,3r,2.7
1,30,anon,24,4,3.0
2,30,anon,24,1r,3.5
3,30,anon,24,5,1.0
4,30,anon,24,2r,2.0
0,20,anon,24,5,1.0
1,20,anon,24,3r,2.7
2,20,anon,24,1r,2.5
3,20,anon,24,4,3.2
4,20,anon,24,2r,3.7
0,01,garf,24,2r,3.3
1,01,garf,24,5,1.5
2,01,garf,24,1r,2.7
3,01,garf,24,3r,3.4
4,01,garf,24,4,3.7
0,04,anon,24,4,4.2
1,04,anon,24,5,1.0
2,04,anon,24,1r,2.5
3,04,anon,24,3r,3.6
4,04,anon,24,2r,2.6
0,12,igorc,24,4,3.4
1,12,igorc,24,5,1.0
2,12,igorc,24,3r,2.9
3,12,igorc,24,2r,2.0
4,12,igorc,24,1r,2.8
0,29,anon,24,3r,3.5
1,29,anon,24,1r,4.0
2,29,anon,24,5,2.5
3,29,anon,24,2r,4.0
0,06,anon,24,5,1.6
0,26,anon,07,4,4.0
1,26,anon,07,5,2.5
0,33,anon,07,1r,1.7
1,33,anon,07,2r,2.0
2,33,anon,07,5,1.0
3,33,anon,07,3r,2.2
4,33,anon,07,4,2.4
0,16,anon,07,4,2.0
1,16,anon,07,2r,4.0
2,16,anon,07,5,2.0
3,16,anon,07,3r,2.5
0,28,anon,07,5,3.7
0,13,r2d2,07,2r,2.0
1,13,r2d2,07,4,1.5
2,13,r2d2,07,5,2.0
3,13,r2d2,07,3r,1.5
4,13,r2d2,07,1r,2.0
0,17,anon,07,5,2.6
1,17,anon,07,3r,3.2
0,25,anon,07,5,1.0
1,25,anon,07,2r,2.0
2,25,anon,07,4,2.5
3,25,anon,07,3r,2.0
4,25,anon,07,1r,3.9
0,08,kw,07,1r,4.5
1,08,kw,07,4,3.5
2,08,kw,07,5,2.5
3,08,kw,07,2r,1.5
4,08,kw,07,3r,3.0
0,14,anon,07,2r,1.2
1,14,anon,07,5,1.0
2,14,anon,07,4,2.0
3,14,anon,07,1r,1.1
4,14,anon,07,3r,1.7
0,07,hlm,07,5,1.0
1,07,hlm,07,3r,3.0
2,07,hlm,07,4,4.0
3,07,hlm,07,2r,3.0
4,07,hlm,07,1r,2.5
0,32,anon,07,3r,3.0
1,32,anon,07,2r,2.5
2,32,anon,07,5,2.0
3,32,anon,07,4,3.5
0,30,anon,07,5,1.0
1,30,anon,07,3r,2.0
2,30,anon,07,4,2.6
3,30,anon,07,2r,1.5
4,30,anon,07,1r,4.2
0,20,anon,07,1r,3.8
1,20,anon,07,2r,2.5
2,20,anon,07,5,1.0
3,20,anon,07,3r,3.0
4,20,anon,07,4,3.5
0,01,garf,07,3r,4.0
1,01,garf,07,5,2.5
2,01,garf,07,2r,3.0
0,04,anon,07,2r,1.9
1,04,anon,07,1r,3.0
2,04,anon,07,4,2.3
3,04,anon,07,3r,2.1
4,04,anon,07,5,1.0
0,12,igorc,07,3r,2.4
1,12,igorc,07,2r,2.6
2,12,igorc,07,1r,2.8
3,12,igorc,07,4,3.1
4,12,igorc,07,5,1.0
0,29,anon,07,5,3.0
1,29,anon,07,3r,2.5
2,29,anon,07,2r,3.0
3,29,anon,07,1r,3.8
0,06,anon,07,2r,3.8
1,06,anon,07,3r,3.0
2,06,anon,07,4,3.2
3,06,anon,07,5,1.2
4,06,anon,07,1r,4.0
0,15,thiagoc,07,5,3.0
1,15,thiagoc,07,2r,3.0
2,15,thiagoc,07,3r,3.0
0,22,anon,09,5,1.5
1,22,anon,09,4,4.6
2,22,anon,09,2r,3.9
3,22,anon,09,3r,4.8
4,22,anon,09,1r,3.4
0,26,anon,09,5,2.0
1,26,anon,09,2r,4.0
0,33,anon,09,3r,3.4
1,33,anon,09,1r,2.0
2,33,anon,09,5,1.0
3,33,anon,09,4,3.0
4,33,anon,09,2r,2.6
0,16,anon,09,5,1.0
1,16,anon,09,3r,3.5
0,28,anon,09,5,2.7
0,13,r2d2,09,5,1.0
1,13,r2d2,09,3r,4.0
2,13,r2d2,09,2r,3.0
3,13,r2d2,09,4,3.5
4,13,r2d2,09,1r,2.5
0,17,anon,09,5,2.1
0,25,anon,09,1r,3.3
1,25,anon,09,4,3.7
2,25,anon,09,5,1.0
3,25,anon,09,2r,2.5
4,25,anon,09,3r,2.5
0,08,kw,09,4,4.3
1,08,kw,09,2r,4.0
2,08,kw,09,1r,3.0
3,08,kw,09,3r,3.5
4,08,kw,09,5,1.0
0,14,anon,09,2r,2.5
1,14,anon,09,4,2.0
2,14,anon,09,3r,3.0
3,14,anon,09,5,1.0
4,14,anon,09,1r,2.5
0,07,hlm,09,5,1.5
1,07,hlm,09,3r,3.0
2,07,hlm,09,1r,3.0
3,07,hlm,09,2r,3.5
4,07,hlm,09,4,4.0
0,32,anon,09,4,3.0
1,32,anon,09,5,1.5
2,32,anon,09,2r,3.5
3,32,anon,09,3r,3.5
4,32,anon,09,1r,3.0
0,30,anon,09,4,2.7
1,30,anon,09,2r,1.9
2,30,anon,09,3r,2.3
3,30,anon,09,5,1.0
4,30,anon,09,1r,2.7
0,20,anon,09,2r,3.3
1,20,anon,09,1r,3.7
2,20,anon,09,3r,2.7
3,20,anon,09,,3.5
4,20,anon,09,5,1.5
0,24,anon,09,4,3.8
1,24,anon,09,3r,4.3
2,24,anon,09,1r,3.5
3,24,anon,09,5,1.4
4,24,anon,09,2r,3.2
0,01,garf,09,5,2.0
1,01,garf,09,4,4.0
2,01,garf,09,2r,4.5
3,01,garf,09,3r,3.5
4,01,garf,09,1r,4.4
0,04,anon,09,2r,3.0
1,04,anon,09,4,3.0
2,04,anon,09,5,1.0
3,04,anon,09,1r,3.7
4,04,anon,09,3r,2.9
0,12,igorc,09,4,2.6
1,12,igorc,09,2r,3.0
2,12,igorc,09,3r,2.5
3,12,igorc,09,5,1.0
4,12,igorc,09,1r,2.1
0,29,anon,09,5,2.0
1,29,anon,09,4,3.6
2,29,anon,09,2r,4.0
3,29,anon,09,1r,3.5
0,06,anon,09,2r,3.9
1,06,anon,09,1r,3.0
2,06,anon,09,5,2.0
0,15,thiagoc,09,5,3.0
0,22,anon,27,3r,4.9
1,22,anon,27,5,2.0
2,22,anon,27,1r,3.5
3,22,anon,27,2r,3.8
4,22,anon,27,4,4.4
0,26,anon,27,5,1.0
1,26,anon,27,1r,4.5
0,19,mnt,27,2r,3.5
1,19,mnt,27,4,2.5
2,19,mnt,27,3r,3.0
3,19,mnt,27,5,1.0
4,19,mnt,27,1r,2.0
0,28,anon,27,2r,4.4
1,28,anon,27,1r,4.2
2,28,anon,27,5,2.1
0,25,anon,27,1r,3.5
1,25,anon,27,2r,2.5
2,25,anon,27,4,3.0
3,25,anon,27,5,1.0
4,25,anon,27,3r,2.8
0,08,kw,27,1r,2.5
1,08,kw,27,5,1.0
2,08,kw,27,4,4.5
3,08,kw,27,3r,4.0
4,08,kw,27,2r,4.3
0,14,anon,27,3r,3.8
1,14,anon,27,1r,3.6
2,14,anon,27,2r,3.5
3,14,anon,27,5,1.0
4,14,anon,27,4,3.0
0,07,hlm,27,5,1.5
1,07,hlm,27,2r,4.5
2,07,hlm,27,1r,2.5
3,07,hlm,27,4,3.5
4,07,hlm,27,3r,4.0
0,30,anon,27,1r,3.3
1,30,anon,27,2r,3.0
2,30,anon,27,3r,2.0
3,30,anon,27,5,1.0
4,30,anon,27,4,2.5
0,20,anon,27,2r,2.8
1,20,anon,27,1r,3.0
2,20,anon,27,3r,2.5
3,20,anon,27,5,1.2
4,20,anon,27,4,3.5
0,01,garf,27,4,4.7
1,01,garf,27,1r,4.0
2,01,garf,27,5,2.0
0,04,anon,27,1r,2.6
1,04,anon,27,2r,4.5
2,04,anon,27,4,3.2
3,04,anon,27,3r,3.2
4,04,anon,27,5,1.0
0,12,igorc,27,3r,2.5
1,12,igorc,27,2r,2.2
2,12,igorc,27,5,1.0
3,12,igorc,27,1r,2.9
4,12,igorc,27,4,3.2
0,11,anon,27,5,1.6
0,29,anon,27,3r,4.0
1,29,anon,27,1r,4.5
2,29,anon,27,2r,4.0
3,29,anon,27,5,2.0
4,29,anon,27,4,3.8
0,06,anon,27,2r,3.0
1,06,anon,27,5,1.4
0,26,anon,05,5,2.5
0,33,anon,05,2r,2.0
1,33,anon,05,1r,3.5
2,33,anon,05,5,1.0
3,33,anon,05,4,4.0
4,33,anon,05,3r,2.5
0,19,mnt,05,2r,1.5
1,19,mnt,05,1r,3.0
2,19,mnt,05,5,1.0
3,19,mnt,05,3r,1.5
4,19,mnt,05,4,2.5
0,16,anon,05,5,2.0
0,03,anon,05,5,2.0
1,03,anon,05,3r,4.5
2,03,anon,05,4,4.0
3,03,anon,05,1r,2.5
4,03,anon,05,2r,3.5
0,28,anon,05,3r,4.1
1,28,anon,05,5,2.8
0,17,anon,05,5,3.0
0,25,anon,05,2r,3.2
1,25,anon,05,3r,4.0
2,25,anon,05,1r,4.7
3,25,anon,05,5,2.0
0,08,kw,05,4,4.5
1,08,kw,05,3r,4.0
2,08,kw,05,2r,4.0
3,08,kw,05,5,1.5
4,08,kw,05,1r,4.5
0,14,anon,05,4,4.0
1,14,anon,05,3r,2.5
2,14,anon,05,2r,2.0
3,14,anon,05,1r,4.0
4,14,anon,05,5,1.0
0,07,hlm,05,4,3.1
1,07,hlm,05,1r,2.9
2,07,hlm,05,2r,2.0
3,07,hlm,05,3r,2.5
4,07,hlm,05,5,1.5
0,32,anon,05,4,4.5
1,32,anon,05,2r,4.5
2,32,anon,05,1r,3.0
3,32,anon,05,3r,4.0
4,32,anon,05,5,1.5
0,30,anon,05,2r,2.8
1,30,anon,05,5,1.0
2,30,anon,05,3r,3.8
3,30,anon,05,4,3.9
4,30,anon,05,1r,2.1
0,20,anon,05,3r,3.5
1,20,anon,05,5,2.0
2,20,anon,05,2r,3.0
0,05,stc,05,5,2.6
1,05,stc,05,2r,3.6
2,05,stc,05,3r,4.1
0,24,anon,05,1r,4.8
1,24,anon,05,4,4.4
2,24,anon,05,5,1.3
3,24,anon,05,2r,4.0
4,24,anon,05,3r,3.6
0,01,garf,05,2r,3.8
1,01,garf,05,1r,4.2
2,01,garf,05,5,2.3
3,01,garf,05,4,4.5
0,04,anon,05,1r,4.8
1,04,anon,05,3r,4.0
2,04,anon,05,5,1.0
3,04,anon,05,2r,4.0
0,12,igorc,05,5,1.0
1,12,igorc,05,1r,3.8
2,12,igorc,05,2r,2.2
3,12,igorc,05,3r,3.0
4,12,igorc,05,4,4.0
0,29,anon,05,1r,3.7
1,29,anon,05,2r,2.0
2,29,anon,05,3r,2.5
3,29,anon,05,5,1.5
0,06,anon,05,3r,3.8
1,06,anon,05,2r,3.0
2,06,anon,05,5,2.4
3,06,anon,05,1r,3.9
0,15,thiagoc,05,5,4.0
0,22,anon,19,2r,4.0
1,22,anon,19,1r,3.7
2,22,anon,19,5,2.5
3,22,anon,19,3r,4.9
4,22,anon,19,4,4.8
0,26,anon,19,5,4.0
0,28,anon,19,5,3.8
0,17,anon,19,5,1.6
0,25,anon,19,3r,4.5
1,25,anon,19,2r,3.0
2,25,anon,19,1r,2.5
3,25,anon,19,4,2.8
4,25,anon,19,5,1.0
0,08,kw,19,1r,2.0
1,08,kw,19,5,1.0
2,08,kw,19,4,3.5
0,14,anon,19,4,2.8
1,14,anon,19,5,1.0
2,14,anon,19,1r,2.5
3,14,anon,19,2r,2.6
0,07,hlm,19,2r,4.0
1,07,hlm,19,4,2.6
2,07,hlm,19,3r,4.5
3,07,hlm,19,1r,2.4
4,07,hlm,19,5,2.0
0,30,anon,19,2r,4.0
1,30,anon,19,5,1.0
2,30,anon,19,4,3.0
3,30,anon,19,1r,2.0
0,20,anon,19,2r,3.8
1,20,anon,19,5,1.5
2,20,anon,19,1r,3.0
3,20,anon,19,4,2.5
0,24,anon,19,1r,2.6
1,24,anon,19,5,1.2
2,24,anon,19,4,3.2
0,01,garf,19,1r,4.5
1,01,garf,19,4,4.0
2,01,garf,19,5,2.0
0,04,anon,19,5,1.0
1,04,anon,19,4,4.3
2,04,anon,19,1r,4.0
0,12,igorc,19,3r,4.1
1,12,igorc,19,2r,3.9
2,12,igorc,19,1r,2.6
3,12,igorc,19,4,2.8
4,12,igorc,19,5,1.2
0,29,anon,19,5,2.3
1,29,anon,19,4,3.6
2,29,anon,19,2r,4.0
0,06,anon,19,5,1.9
1,06,anon,19,1r,4.0
0,15,thiagoc,19,5,3.5
1,15,thiagoc,19,,4.7
0,22,anon,29,2r,4.8
1,22,anon,29,4,4.2
2,22,anon,29,1r,3.9
3,22,anon,29,5,3.0
4,22,anon,29,3r,4.8
0,26,anon,29,2r,4.5
1,26,anon,29,5,1.0
0,19,mnt,29,1r,2.0
1,19,mnt,29,2r,3.0
2,19,mnt,29,5,1.0
3,19,mnt,29,3r,3.5
4,19,mnt,29,4,2.5
0,28,anon,29,2r,3.8
1,28,anon,29,5,2.6
0,25,anon,29,3r,3.7
1,25,anon,29,5,1.0
2,25,anon,29,1r,2.0
3,25,anon,29,2r,2.5
4,25,anon,29,4,3.5
0,08,kw,29,5,2.0
1,08,kw,29,2r,4.8
0,14,anon,29,5,1.0
0,07,hlm,29,4,3.0
1,07,hlm,29,2r,4.0
2,07,hlm,29,1r,2.0
3,07,hlm,29,3r,4.5
4,07,hlm,29,5,2.0
0,30,anon,29,2r,3.0
1,30,anon,29,1r,2.3
2,30,anon,29,3r,3.7
3,30,anon,29,4,2.7
4,30,anon,29,5,1.0
0,20,anon,29,5,1.3
1,20,anon,29,1r,2.5
0,01,garf,29,5,1.5
1,01,garf,29,4,3.0
2,01,garf,29,1r,3.5
3,01,garf,29,3r,4.8
0,04,anon,29,1r,2.5
1,04,anon,29,4,3.5
2,04,anon,29,2r,3.1
3,04,anon,29,5,1.0
4,04,anon,29,3r,3.1
0,12,igorc,29,4,3.0
1,12,igorc,29,3r,3.4
2,12,igorc,29,5,1.2
3,12,igorc,29,1r,3.6
4,12,igorc,29,2r,4.4
0,29,anon,29,3r,4.0
1,29,anon,29,2r,4.0
2,29,anon,29,5,2.0
3,29,anon,29,1r,4.0
0,06,anon,29,1r,4.4
1,06,anon,29,5,2.0
2,06,anon,29,2r,4.0
3,06,anon,29,3r,4.2
